data_execucao_simulada,data_base_previsao,horizonte_dias,previsao_classe,probabilidades,preco_inicial,preco_final,retorno_real,classe_real
2025-09-01,2025-08-29,1,Cai muito,"{""Cai"": 0.005388586587980231, ""Cai muito"": 0.9767274766485635, ""Na mesma"": 0.01060689426909161, ""Sobe"": 0.00589424810399699, ""Sobe muito"": 0.0013827943903677834}",2514.75,2514.5,-9.941346058256288e-05,Na mesma
2025-09-01,2025-08-29,5,Cai muito,"{""Cai"": 0.01666639234702933, ""Cai muito"": 0.9544415530832243, ""Na mesma"": 0.01743604108258063, ""Sobe"": 0.008052696063151002, ""Sobe muito"": 0.003403317424014983}",2514.75,2505.5,-0.0036782980415548264,Na mesma
2025-09-01,2025-08-29,30,Cai muito,"{""Cai"": 0.013962355534113857, ""Cai muito"": 0.9541729473483118, ""Na mesma"": 0.0053934073431485055, ""Sobe"": 0.015405758545615506, ""Sobe muito"": 0.011065531228810483}",,,,
2025-09-01,2025-08-29,90,Cai muito,"{""Cai"": 0.006521856777931138, ""Cai muito"": 0.9779237920832473, ""Na mesma"": 0.004904759160610731, ""Sobe"": 0.004049197253142925, ""Sobe muito"": 0.00660039472506791}",,,,
2025-09-02,2025-09-01,1,Na mesma,"{""Cai"": 0.1625895073099922, ""Cai muito"": 0.28243070278597193, ""Na mesma"": 0.3537572512056981, ""Sobe"": 0.17564766069205012, ""Sobe muito"": 0.02557487800628763}",,,,
2025-09-02,2025-09-01,5,Cai muito,"{""Cai"": 0.044400086490084305, ""Cai muito"": 0.884499850847345, ""Na mesma"": 0.03646771419788533, ""Sobe"": 0.024997135423450067, ""Sobe muito"": 0.009635213041235388}",,,,
2025-09-02,2025-09-01,30,Cai muito,"{""Cai"": 0.02372462966622259, ""Cai muito"": 0.8480683364449589, ""Na mesma"": 0.006670895860725041, ""Sobe"": 0.06592249121389662, ""Sobe muito"": 0.05561364681419673}",,,,
2025-09-02,2025-09-01,90,Cai muito,"{""Cai"": 0.021565215791382708, ""Cai muito"": 0.932147023790706, ""Na mesma"": 0.014995056393674206, ""Sobe"": 0.012462736312593797, ""Sobe muito"": 0.018829967711643324}",,,,
2025-09-03,2025-09-02,1,Na mesma,"{""Cai"": 0.1446994600793232, ""Cai muito"": 0.21655814286425815, ""Na mesma"": 0.4036439375279346, ""Sobe"": 0.20922920400852607, ""Sobe muito"": 0.025869255519957855}",2514.5,2505.5,-0.003579240405647246,Na mesma
2025-09-03,2025-09-02,5,Cai muito,"{""Cai"": 0.15733155458594222, ""Cai muito"": 0.6261890498668126, ""Na mesma"": 0.06478628577398578, ""Sobe"": 0.11638086524066588, ""Sobe muito"": 0.03531224453259364}",2514.5,2511.0,-0.0013919268244183733,Na mesma
2025-09-03,2025-09-02,30,Cai muito,"{""Cai"": 0.04537779767501029, ""Cai muito"": 0.6817542437837071, ""Na mesma"": 0.01024616620566763, ""Sobe"": 0.2141606746314634, ""Sobe muito"": 0.04846111770415147}",,,,
2025-09-03,2025-09-02,90,Cai muito,"{""Cai"": 0.018724944108727503, ""Cai muito"": 0.9417969982133116, ""Na mesma"": 0.01486470174142719, ""Sobe"": 0.00932302115225562, ""Sobe muito"": 0.01529033478427819}",,,,
2025-09-04,2025-09-03,1,Na mesma,"{""Cai"": 0.22822493486658899, ""Cai muito"": 0.15417793693562518, ""Na mesma"": 0.38028749554753943, ""Sobe"": 0.19878895282151976, ""Sobe muito"": 0.038520679828726444}",2505.5,2488.75,-0.006685292356815007,Na mesma
2025-09-04,2025-09-03,5,Cai muito,"{""Cai"": 0.17093965909595893, ""Cai muito"": 0.3647908905644555, ""Na mesma"": 0.13934380868733637, ""Sobe"": 0.2834216277233211, ""Sobe muito"": 0.04150401392892814}",2505.5,2511.0,0.002195170624625823,Na mesma
2025-09-04,2025-09-03,30,Cai muito,"{""Cai"": 0.03918360481853127, ""Cai muito"": 0.7032888049751784, ""Na mesma"": 0.008831516510093732, ""Sobe"": 0.12428402011169529, ""Sobe muito"": 0.12441205358450125}",,,,
2025-09-04,2025-09-03,90,Cai muito,"{""Cai"": 0.030330866467322467, ""Cai muito"": 0.9090259273572544, ""Na mesma"": 0.022614084864164805, ""Sobe"": 0.015330625226762281, ""Sobe muito"": 0.022698496084495954}",,,,
2025-09-05,2025-09-04,1,Na mesma,"{""Cai"": 0.1509954026325211, ""Cai muito"": 0.2655976907056655, ""Na mesma"": 0.3759633988927426, ""Sobe"": 0.1777621686590638, ""Sobe muito"": 0.029681339110006897}",2488.75,2495.25,0.002611752887995982,Na mesma
2025-09-05,2025-09-04,5,Sobe,"{""Cai"": 0.2212094781040521, ""Cai muito"": 0.2977588199778268, ""Na mesma"": 0.11949892236293144, ""Sobe"": 0.31930284026869654, ""Sobe muito"": 0.04222993928649292}",2488.75,2516.0,0.010949271722752386,Na mesma
2025-09-05,2025-09-04,30,Cai muito,"{""Cai"": 0.0665977846436239, ""Cai muito"": 0.48279870425649407, ""Na mesma"": 0.035129238555843045, ""Sobe"": 0.3118166284865333, ""Sobe muito"": 0.10365764405750562}",,,,
2025-09-05,2025-09-04,90,Cai muito,"{""Cai"": 0.024849006229511635, ""Cai muito"": 0.9207607810486175, ""Na mesma"": 0.019301261389197008, ""Sobe"": 0.014275100126160947, ""Sobe muito"": 0.020813851206513037}",,,,
